CNNAM,FNFNUM,CNID,USERID,CREATED,MODIFIED
"Cashew","70","CASHEW","DUKE","10-DEC-97",""
"Cohoba","71","COHOBA","DUKE","10-DEC-97",""
"Niopo","71","NIOPO","DUKE","10-DEC-97",""
"Cohoba","72","COHOBA","DUKE","10-DEC-97",""
"Niopo","72","NIOPO","DUKE","10-DEC-97",""
"Levant Berry","73","LEVANTBERRY","DUKE","10-DEC-97",""
"Pineapple","74","PINEAPPLE","DUKE","10-DEC-97",""
"Pearly Everlasting","75","PEARLYEVERLASTING","DUKE","10-DEC-97",""
"Jericho Rose","76","JERICHOROSE","DUKE","10-DEC-97",""
"Araroba","77","ARAROBA","DUKE","10-DEC-97",""
"Cabbage Bark","78","CABBAGEBARK","DUKE","10-DEC-97",""
"Creat","79","CREAT","DUKE","10-DEC-97",""
"Chih-Mu","80","CHIHMU","DUKE","10-DEC-97",""
"Zhi-Mu","80","ZHIMU","DUKE","10-DEC-97",""
"French Anemone","81","FRENCHANEMONE","DUKE","10-DEC-97",""
"Pasque Flower","82","PASQUEFLOWER","DUKE","10-DEC-97",""
"Dill","83","DILL","DUKE","10-DEC-97",""
"Garden Angelica","84","GARDENANGELICA","DUKE","10-DEC-97",""
"Bai Zhi","85","BAIZHI","DUKE","10-DEC-97",""
"Tu Huo","86","TUHUO","DUKE","10-DEC-97",""
"Dang Gui","87","DANGGUI","DUKE","10-DEC-97",""
"Dong Quai","87","DONGQUAI","DUKE","10-DEC-97",""
"Bois-De-Rose","88","BOISDEROSE","DUKE","10-DEC-97",""
"Cayenne Rosewood","88","CAYENNEROSEWOOD","DUKE","10-DEC-97",""
"Zang Qie","89","ZANGQIE","DUKE","10-DEC-97",""
"Cherimoya","90","CHERIMOYA","DUKE","10-DEC-97",""
"Soursop","91","SOURSOP","DUKE","10-DEC-97",""
"Custard Apple","92","CUSTARDAPPLE","DUKE","10-DEC-97",""
"Sugar-Apple","93","SUGARAPPLE","DUKE","10-DEC-97",""
"Sweetsop","93","SWEETSOP","DUKE","10-DEC-97",""
"Gum Ghatti","94","GUMGHATTI","DUKE","10-DEC-97",""
"Chervil","95","CHERVIL","DUKE","10-DEC-97",""
"Celery","96","CELERY","DUKE","10-DEC-97",""
"Bitterroot","97","BITTERROOT","DUKE","10-DEC-97",""
"Spreading Dogbane","97","SPREADINGDOGBANE","DUKE","10-DEC-97",""
"Bitterroot","98","BITTERROOT","DUKE","10-DEC-97",""
"Spreading Dogbane","98","SPREADINGDOGBANE","DUKE","10-DEC-97",""
"Lignum Aloe","99","LIGNUMALOE","DUKE","10-DEC-97",""
"Columbine","100","COLUMBINE","DUKE","10-DEC-97",""
"Groundnut","101","GROUNDNUT","DUKE","10-DEC-97",""
"Peanut","101","PEANUT","DUKE","10-DEC-97",""
"Udo","102","UDO","DUKE","10-DEC-97",""
"Arbutus","103","ARBUTUS","DUKE","10-DEC-97",""
"Strawberry Tree","103","STRAWBERRYTREE","DUKE","10-DEC-97",""
"Gobo","104","GOBO","DUKE","10-DEC-97",""
"Great Burdock","104","GREATBURDOCK","DUKE","10-DEC-97",""
"Bearberry","105","BEARBERRY","DUKE","10-DEC-97",""
"Uva Ursi","105","UVAURSI","DUKE","10-DEC-97",""
"Marlberry","106","MARLBERRY","DUKE","10-DEC-97",""
"Betel Nut","107","BETELNUT","DUKE","10-DEC-97",""
"Pin-Lang","107","PINLANG","DUKE","10-DEC-97",""
"Prickly Poppy","108","PRICKLYPOPPY","DUKE","10-DEC-97",""
"Silver Morning Glory","109","SILVERMORNINGGLORY","DUKE","10-DEC-97",""
"Wood Rose","109","WOODROSE","DUKE","10-DEC-97",""
"Elephant Creeper","110","ELEPHANTCREEPER","DUKE","10-DEC-97",""
"Chinese Jack-In-The-Pulpit","111","CHINESEJACKINTHEPULPIT","DUKE","10-DEC-97",""
"Jack-In-The-Pulpit","112","JACKINTHEPULPIT","DUKE","10-DEC-97",""
"Chinese Birthwort","113","CHINESEBIRTHWORT","DUKE","10-DEC-97",""
"Serpentaria","114","SERPENTARIA","DUKE","10-DEC-97",""
"Virginia Snakeroot","114","VIRGINIASNAKEROOT","DUKE","10-DEC-97",""
"Horseradish","115","HORSERADISH","DUKE","10-DEC-97",""
"Leopard's-Bane","116","LEOPARDSBANE","DUKE","10-DEC-97",""
"Mountain Tobacco","116","MOUNTAINTOBACCO","DUKE","10-DEC-97",""
"Arracacha","117","ARRACACHA","DUKE","10-DEC-97",""
"Peruvian Carrot","117","PERUVIANCARROT","DUKE","10-DEC-97",""
"Southernwood","118","SOUTHERNWOOD","DUKE","10-DEC-97",""
"Wormwood","119","WORMWOOD","DUKE","10-DEC-97",""
"Qinghao","120","QINGHAO","DUKE","10-DEC-97",""
"Sweet Annie","120","SWEETANNIE","DUKE","10-DEC-97",""
"Capillary Wormwood","121","CAPILLARYWORMWOOD","DUKE","10-DEC-97",""
"Levant Wormseed","122","LEVANTWORMSEED","DUKE","10-DEC-97",""
"Tarragon","123","TARRAGON","DUKE","10-DEC-97",""
"Desert Wormwood","124","DESERTWORMWOOD","DUKE","10-DEC-97",""
"Sea Wormwood","125","SEAWORMWOOD","DUKE","10-DEC-97",""
"Davana","126","DAVANA","DUKE","10-DEC-97",""
"Mugwort","127","MUGWORT","DUKE","10-DEC-97",""
"Breadfruit","128","BREADFRUIT","DUKE","10-DEC-97",""
"Jackfruit","129","JACKFRUIT","DUKE","10-DEC-97",""
"Giant Reed","130","GIANTREED","DUKE","10-DEC-97",""
"Wild Ginger","131","WILDGINGER","DUKE","10-DEC-97",""
"Milkweed","132","MILKWEED","DUKE","10-DEC-97",""
"Asian Wild Ginger","133","ASIANWILDGINGER","DUKE","10-DEC-97",""
"Siebold's Wild Ginger","134","SIEBOLDSWILDGINGER","DUKE","10-DEC-97",""
"Pawpaw","135","PAWPAW","DUKE","10-DEC-97",""
"Lucid Asparagus","136","LUCIDASPARAGUS","DUKE","10-DEC-97",""
"Asparagus","137","ASPARAGUS","DUKE","10-DEC-97",""
"Quebracho","138","QUEBRACHO","DUKE","10-DEC-97",""
"Gum Tragacanth","139","GUMTRAGACANTH","DUKE","10-DEC-97",""
"Tragacanth","139","TRAGACANTH","DUKE","10-DEC-97",""
"Huang-Chi","140","HUANGCHI","DUKE","10-DEC-97",""
"Cang Zhu","141","CANGZHU","DUKE","10-DEC-97",""
"Bai-Zhu","142","BAIZHU","DUKE","10-DEC-97",""
"Pai-Chu","142","PAICHU","DUKE","10-DEC-97",""
"Belladonna","143","BELLADONNA","DUKE","10-DEC-97",""
"Oats","144","OATS","DUKE","10-DEC-97",""
"Neem","146","NEEM","DUKE","10-DEC-97",""
"Desert Date","147","DESERTDATE","DUKE","10-DEC-97",""
"Black Horehound","148","BLACKHOREHOUND","DUKE","10-DEC-97",""
"Ayahuasca","149","AYAHUASCA","DUKE","10-DEC-97",""
"Caapi","149","CAAPI","DUKE","10-DEC-97",""
"Wild Indigo","150","WILDINDIGO","DUKE","10-DEC-97",""
"Buchu","151","BUCHU","DUKE","10-DEC-97",""
"Vinespinach","152","VINESPINACH","DUKE","10-DEC-97",""
"Leopard Lily","153","LEOPARDLILY","DUKE","10-DEC-97",""
