CNNAM,FNFNUM,CNID,USERID,CREATED,MODIFIED
"Mealy Tree","309","MEALYTREE","DUKE","10-DEC-97",""
"Ground Toot","310","GROUNDTOOT","DUKE","10-DEC-97",""
"Shanshi","310","SHANSHI","DUKE","10-DEC-97",""
"American Dogwood","311","AMERICANDOGWOOD","DUKE","10-DEC-97",""
"Chinese Dogwood","312","CHINESEDOGWOOD","DUKE","10-DEC-97",""
"Fumewort","313","FUMEWORT","DUKE","10-DEC-97",""
"English Filbert","314","ENGLISHFILBERT","DUKE","10-DEC-97",""
"Hawthorn","315","HAWTHORN","DUKE","10-DEC-97",""
"Hawthorn","316","HAWTHORN","DUKE","10-DEC-97",""
"Jicaro","317","JICARO","DUKE","10-DEC-97",""
"Saffron","318","SAFFRON","DUKE","10-DEC-97",""
"Sunhemp","319","SUNHEMP","DUKE","10-DEC-97",""
"Rattlepod","320","RATTLEPOD","DUKE","10-DEC-97",""
"Cascarilla","321","CASCARILLA","DUKE","10-DEC-97",""
"Purging Croton","322","PURGINGCROTON","DUKE","10-DEC-97",""
"Rubber Vine","323","RUBBERVINE","DUKE","10-DEC-97",""
"Cantaloupe","324","CANTALOUPE","DUKE","10-DEC-97",""
"Melon","324","MELON","DUKE","10-DEC-97",""
"Cucumber","325","CUCUMBER","DUKE","10-DEC-97",""
"Pumpkin","326","PUMPKIN","DUKE","10-DEC-97",""
"Pumpkin","327","PUMPKIN","DUKE","10-DEC-97",""
"Summer Squash","328","SUMMERSQUASH","DUKE","10-DEC-97",""
"Cumin","329","CUMIN","DUKE","10-DEC-97",""
"Mountain Dittany","330","MOUNTAINDITTANY","DUKE","10-DEC-97",""
"Turmeric","331","TURMERIC","DUKE","10-DEC-97",""
"Javan Turmeric","332","JAVANTURMERIC","DUKE","10-DEC-97",""
"Shoti","333","SHOTI","DUKE","10-DEC-97",""
"Zedoary","333","ZEDOARY","DUKE","10-DEC-97",""
"Sago Cycas","334","SAGOCYCAS","DUKE","10-DEC-97",""
"Achocha","335","ACHOCHA","DUKE","10-DEC-97",""
"Quince","336","QUINCE","DUKE","10-DEC-97",""
"West Indian Lemongrass","337","WESTINDIANLEMONGRASS","DUKE","10-DEC-97",""
"East Indian Lemongrass","338","EASTINDIANLEMONGRASS","DUKE","10-DEC-97",""
"Palmarosa","339","PALMAROSA","DUKE","10-DEC-97",""
"Rosha Grass","339","ROSHAGRASS","DUKE","10-DEC-97",""
"Ceylon Citronella","340","CEYLONCITRONELLA","DUKE","10-DEC-97",""
"Citronella","340","CITRONELLA","DUKE","10-DEC-97",""
"Skhabar","341","SKHABAR","DUKE","10-DEC-97",""
"Java Citronella","342","JAVACITRONELLA","DUKE","10-DEC-97",""
"Mahapengiri","342","MAHAPENGIRI","DUKE","10-DEC-97",""
"Bai-Wei","343","BAIWEI","DUKE","10-DEC-97",""
"Pai-Wei","343","PAIWEI","DUKE","10-DEC-97",""
"Artichoke","344","ARTICHOKE","DUKE","10-DEC-97",""
"Nutsedge","345","NUTSEDGE","DUKE","10-DEC-97",""
"Tamarillo","346","TAMARILLO","DUKE","10-DEC-97",""
"Tree Tomato","346","TREETOMATO","DUKE","10-DEC-97",""
"Ladyslipper","347","LADYSLIPPER","DUKE","10-DEC-97",""
"Swamp Taro","348","SWAMPTARO","DUKE","10-DEC-97",""
"Scotch Broom","349","SCOTCHBROOM","DUKE","10-DEC-97",""
"Dragon's Blood","350","DRAGONSBLOOD","DUKE","10-DEC-97",""
"Yuan Hua","351","YUANHUA","DUKE","10-DEC-97",""
"Spurge Laurel","352","SPURGELAUREL","DUKE","10-DEC-97",""
"Spurge Olive","352","SPURGEOLIVE","DUKE","10-DEC-97",""
"Borrachero","353","BORRACHERO","DUKE","10-DEC-97",""
"Floripondio","353","FLORIPONDIO","DUKE","10-DEC-97",""
"Thorn Apple","354","THORNAPPLE","DUKE","10-DEC-97",""
"Hindu Datura","355","HINDUDATURA","DUKE","10-DEC-97",""
"Jimsonweed","356","JIMSONWEED","DUKE","10-DEC-97",""
"Carrot","357","CARROT","DUKE","10-DEC-97",""
"Noble Dendrobium","358","NOBLEDENDROBIUM","DUKE","10-DEC-97",""
"Akgiritotu","359","AKGIRITOTU","DUKE","10-DEC-97",""
"Burning Bush","359","BURNINGBUSH","DUKE","10-DEC-97",""
"Dittany","359","DITTANY","DUKE","10-DEC-97",""
"Gas Plant","359","GASPLANT","DUKE","10-DEC-97",""
"Gazelotu","359","GAZELOTU","DUKE","10-DEC-97",""
"Dumbcane","360","DUMBCANE","DUKE","10-DEC-97",""
"Grecian Foxglove","361","GRECIANFOXGLOVE","DUKE","10-DEC-97",""
"Purple Foxglove","362","PURPLEFOXGLOVE","DUKE","10-DEC-97",""
"Greater Yam","363","GREATERYAM","DUKE","10-DEC-97",""
"Winged Yam","363","WINGEDYAM","DUKE","10-DEC-97",""
"Air Potato","364","AIRPOTATO","DUKE","10-DEC-97",""
"Potato Yam","364","POTATOYAM","DUKE","10-DEC-97",""
"Barbasco","365","BARBASCO","DUKE","10-DEC-97",""
"Mountain Yam","366","MOUNTAINYAM","DUKE","10-DEC-97",""
"Wild Yam","367","WILDYAM","DUKE","10-DEC-97",""
"American Persimmon","368","AMERICANPERSIMMON","DUKE","10-DEC-97",""
"Tonka Bean","369","TONKABEAN","DUKE","10-DEC-97",""
"Hopwood","370","HOPWOOD","DUKE","10-DEC-97",""
"Winter's Bark","371","WINTERSBARK","DUKE","10-DEC-97",""
"Fortune's Fern","372","FORTUNESFERN","DUKE","10-DEC-97",""
"Male Fern","373","MALEFERN","DUKE","10-DEC-97",""
"Corkwood Tree","374","CORKWOODTREE","DUKE","10-DEC-97",""
"Pituri","374","PITURI","DUKE","10-DEC-97",""
"Golden Dewdrop","375","GOLDENDEWDROP","DUKE","10-DEC-97",""
"Coneflower","376","CONEFLOWER","DUKE","10-DEC-97",""
"Echinacea","376","ECHINACEA","DUKE","10-DEC-97",""
"Cardamom","377","CARDAMOM","DUKE","10-DEC-97",""
"Eleuthero Ginseng","378","ELEUTHEROGINSENG","DUKE","10-DEC-97",""
"Siberian Ginseng","378","SIBERIANGINSENG","DUKE","10-DEC-97",""
"Spiny Ginseng","378","SPINYGINSENG","DUKE","10-DEC-97",""
"Wu jia","378","WUJIA","DUKE","10-DEC-97","12-JUL-01"
"Couchgrass","379","COUCHGRASS","DUKE","10-DEC-97",""
"Doggrass","379","DOGGRASS","DUKE","10-DEC-97",""
"Quackgrass","379","QUACKGRASS","DUKE","10-DEC-97",""
"Pakistani Ephedra","380","PAKISTANIEPHEDRA","DUKE","10-DEC-97",""
"Brigham Tea","381","BRIGHAMTEA","DUKE","10-DEC-97",""
"Mormon Tea","381","MORMONTEA","DUKE","10-DEC-97",""
"Ma Huang","382","MAHUANG","DUKE","10-DEC-97",""
"Ma-Huang","383","MAHUANG","DUKE","10-DEC-97",""
"Field Horsetail","384","FIELDHORSETAIL","DUKE","10-DEC-97",""
"Horsetail","384","HORSETAIL","DUKE","10-DEC-97",""
"Horsetail","385","HORSETAIL","DUKE","10-DEC-97",""
"Scouring Rush","385","SCOURINGRUSH","DUKE","10-DEC-97",""
"Loquat","386","LOQUAT","DUKE","10-DEC-97",""
"Oriental Pipewort","387","ORIENTALPIPEWORT","DUKE","10-DEC-97",""
"Yerba Santa","388","YERBASANTA","DUKE","10-DEC-97",""
"Florida Eryngium","389","FLORIDAERYNGIUM","DUKE","10-DEC-97",""
"Culantro","390","CULANTRO","DUKE","10-DEC-97",""
"Pito","391","PITO","DUKE","10-DEC-97",""
"Cockspur Coral Tree","392","COCKSPURCORALTREE","DUKE","10-DEC-97",""
"Coral Bean","393","CORALBEAN","DUKE","10-DEC-97",""
"Gallito","393","GALLITO","DUKE","10-DEC-97",""
"Ordeal Tree","394","ORDEALTREE","DUKE","10-DEC-97",""
"Sassy Bark","394","SASSYBARK","DUKE","10-DEC-97",""
"Coca","395","COCA","DUKE","10-DEC-97",""
"Amazonian Coca","396","AMAZONIANCOCA","DUKE","10-DEC-97",""
"Ipadu","396","IPADU","DUKE","10-DEC-97",""
"Coca","397","COCA","DUKE","10-DEC-97",""
"Coca","398","COCA","DUKE","10-DEC-97",""
"California Poppy","399","CALIFORNIAPOPPY","DUKE","10-DEC-97",""
"Lemon Eucalyptus","400","LEMONEUCALYPTUS","DUKE","10-DEC-97",""
"Blue Gum","401","BLUEGUM","DUKE","10-DEC-97",""
"Tu Chung","402","TUCHUNG","DUKE","10-DEC-97","07-JUL-01"
"Wou Chou Yu","403","WOUCHOUYU","DUKE","10-DEC-97",""
"Burning Bush","404","BURNINGBUSH","DUKE","10-DEC-97",""
"Wahoo","404","WAHOO","DUKE","10-DEC-97",""
"Boneset","405","BONESET","DUKE","10-DEC-97",""
"Queensland Asthma Herb","406","QUEENSLANDASTHMAHERB","DUKE","10-DEC-97",""
"Caper Spurge","407","CAPERSPURGE","DUKE","10-DEC-97",""
"Mole Plant","407","MOLEPLANT","DUKE","10-DEC-97",""
"Poinsettia","408","POINSETTIA","DUKE","10-DEC-97",""
"Aveloz","409","AVELOZ","DUKE","10-DEC-97",""
"Eyebright","410","EYEBRIGHT","DUKE","10-DEC-97",""
"Buckwheat","411","BUCKWHEAT","DUKE","10-DEC-97",""
"Garlic Ferula","412","GARLICFERULA","DUKE","10-DEC-97",""
"Asafetida","413","ASAFETIDA","DUKE","10-DEC-97",""
"Galbanum","414","GALBANUM","DUKE","10-DEC-97",""
"Jaechke's Ferula","415","JAECHKESFERULA","DUKE","10-DEC-97",""
"Sumbul","416","SUMBUL","DUKE","10-DEC-97",""
"Fig","417","FIG","DUKE","10-DEC-97",""
"Meadowsweet","418","MEADOWSWEET","DUKE","10-DEC-97",""
"Queen Of The Meadow","418","QUEENOFTHEMEADOW","DUKE","10-DEC-97",""
"Chinese Parasol","419","CHINESEPARASOL","DUKE","10-DEC-97",""
"Fennel","420","FENNEL","DUKE","10-DEC-97",""
"Lian-Jiao","421","LIANJIAO","DUKE","10-DEC-97",""
"Lien-Chiao","421","LIENCHIAO","DUKE","10-DEC-97",""
"Strawberry","422","STRAWBERRY","DUKE","10-DEC-97",""
"Buckthorn","423","BUCKTHORN","DUKE","10-DEC-97",""
"Chinese Ash","424","CHINESEASH","DUKE","10-DEC-97",""
"Bei-Mu","425","BEIMU","DUKE","10-DEC-97",""
"Fritillary","425","FRITILLARY","DUKE","10-DEC-97",""
"Bladderwrack","426","BLADDERWRACK","DUKE","10-DEC-97",""
"Hemp Nettle","427","HEMPNETTLE","DUKE","10-DEC-97",""
"Angostura","428","ANGOSTURA","DUKE","10-DEC-97",""
"Waldmeister","429","WALDMEISTER","DUKE","10-DEC-97",""
"Woodruff","429","WOODRUFF","DUKE","10-DEC-97",""
"Gamboge","430","GAMBOGE","DUKE","10-DEC-97",""
"Gardenia","431","GARDENIA","DUKE","10-DEC-97",""
"Shan-Chih-Tzu","431","SHANCHIHTZU","DUKE","10-DEC-97",""
"Shan-Zhi-Zi","431","SHANZHIZI","DUKE","10-DEC-97",""
"Tian Ma","432","TIANMA","DUKE","10-DEC-97",""
"Teaberry","433","TEABERRY","DUKE","10-DEC-97",""
"Wintergreen","433","WINTERGREEN","DUKE","10-DEC-97",""
"Yellow Jessamine","434","YELLOWJESSAMINE","DUKE","10-DEC-97",""
"Genipap","435","GENIPAP","DUKE","10-DEC-97",""
"Jagua","435","JAGUA","DUKE","10-DEC-97",""
"Dyer's Broom","436","DYERSBROOM","DUKE","10-DEC-97",""
"Stemless Gentian","437","STEMLESSGENTIAN","DUKE","10-DEC-97",""
"Yellow Gentian","438","YELLOWGENTIAN","DUKE","10-DEC-97",""
"Japanese Gentian","439","JAPANESEGENTIAN","DUKE","10-DEC-97",""
"Cranesbill","440","CRANESBILL","DUKE","10-DEC-97",""
"Gennoshiouko","441","GENNOSHIOUKO","DUKE","10-DEC-97",""
"Oriental Geranium","441","ORIENTALGERANIUM","DUKE","10-DEC-97",""
"Ginkgo","442","GINKGO","DUKE","10-DEC-97",""
"Maidenhair Tree","442","MAIDENHAIRTREE","DUKE","10-DEC-97",""
"Horned Poppy","443","HORNEDPOPPY","DUKE","10-DEC-97",""
"Alehoof","444","ALEHOOF","DUKE","10-DEC-97",""
"Honey Locust","445","HONEYLOCUST","DUKE","10-DEC-97",""
"Bei Sha Shen","446","BEISHASHEN","DUKE","10-DEC-97",""
"Mata Raton","447","MATARATON","DUKE","10-DEC-97",""
"Glory Lily","448","GLORYLILY","DUKE","10-DEC-97",""
"Soybean","449","SOYBEAN","DUKE","10-DEC-97",""
"Commom Licorice","450","COMMOMLICORICE","DUKE","10-DEC-97",""
"Licorice","450","LICORICE","DUKE","10-DEC-97",""
"Smooth Licorice","450","SMOOTHLICORICE","DUKE","10-DEC-97",""
"Chinese Licorice","451","CHINESELICORICE","DUKE","10-DEC-97",""
"Gan-Cao","451","GANCAO","DUKE","10-DEC-97",""
"Kan-Tsao","451","KANTSAO","DUKE","10-DEC-97",""
"Cotton","452","COTTON","DUKE","10-DEC-97",""
"Gumweed","453","GUMWEED","DUKE","10-DEC-97",""
"Rosinweed","453","ROSINWEED","DUKE","10-DEC-97",""
"Guaiac","454","GUAIAC","DUKE","10-DEC-97",""
"Cocillana","455","COCILLANA","DUKE","10-DEC-97",""
"Bay Cedar","456","BAYCEDAR","DUKE","10-DEC-97",""
"Witch Hazel","457","WITCHHAZEL","DUKE","10-DEC-97",""
"Scarlet Bush","458","SCARLETBUSH","DUKE","10-DEC-97",""
"Devil's Claw","459","DEVILSCLAW","DUKE","10-DEC-97",""
"Grapple Plant","459","GRAPPLEPLANT","DUKE","10-DEC-97",""
"Drummond's Pennyroyal","460","DRUMMONDSPENNYROYAL","DUKE","10-DEC-97",""
"Hispid Pennyroyal","461","HISPIDPENNYROYAL","DUKE","10-DEC-97",""
"American Pennyroyal","462","AMERICANPENNYROYAL","DUKE","10-DEC-97",""
"Reverchon's Pennyroyal","463","REVERCHONSPENNYROYAL","DUKE","10-DEC-97",""
"Ivy","464","IVY","DUKE","10-DEC-97",""
"Sinicuichi","465","SINICUICHI","DUKE","10-DEC-97",""
"Sunflower","466","SUNFLOWER","DUKE","10-DEC-97",""
"Jerusalem Artichoke","467","JERUSALEMARTICHOKE","DUKE","10-DEC-97",""
"Everlasting","468","EVERLASTING","DUKE","10-DEC-97",""
"Immortelle","468","IMMORTELLE","DUKE","10-DEC-97",""
"Heliotrope","469","HELIOTROPE","DUKE","10-DEC-97",""
"Turnsole","469","TURNSOLE","DUKE","10-DEC-97",""
"Indian Heliotrope","470","INDIANHELIOTROPE","DUKE","10-DEC-97",""
"Black Hellebore","471","BLACKHELLEBORE","DUKE","10-DEC-97",""
"Christmas Rose","471","CHRISTMASROSE","DUKE","10-DEC-97",""
"Indian Sarsaparilla","472","INDIANSARSAPARILLA","DUKE","10-DEC-97",""
"Luo Guo","473","LUOGUO","DUKE","10-DEC-97",""
"Roselle","474","ROSELLE","DUKE","10-DEC-97",""
"Manchineel","475","MANCHINEEL","DUKE","10-DEC-97",""
"Tellicherry Bark","476","TELLICHERRYBARK","DUKE","10-DEC-97",""
"Barley","477","BARLEY","DUKE","10-DEC-97",""
"Kamyuye","478","KAMYUYE","DUKE","10-DEC-97",""
"Fishwort","479","FISHWORT","DUKE","10-DEC-97",""
"Hops","480","HOPS","DUKE","10-DEC-97",""
"Cutleaf Clubmoss","481","CUTLEAFCLUBMOSS","DUKE","10-DEC-97",""
"Sandbox Tree","482","SANDBOXTREE","DUKE","10-DEC-97",""
"Hyacinth","483","HYACINTH","DUKE","10-DEC-97",""
"Thai Chaulmoogra","484","THAICHAULMOOGRA","DUKE","10-DEC-97",""
"True Chaulmoogra","485","TRUECHAULMOOGRA","DUKE","10-DEC-97",""
"Hindi Chaulmoogra","486","HINDICHAULMOOGRA","DUKE","10-DEC-97",""
"Smooth Hydrangea","487","SMOOTHHYDRANGEA","DUKE","10-DEC-97",""
"Peegee","488","PEEGEE","DUKE","10-DEC-97",""
"Goldenseal","489","GOLDENSEAL","DUKE","10-DEC-97",""
"Henbane","490","HENBANE","DUKE","10-DEC-97",""
"Common St. Johnswort","491","COMMONSTJOHNSWORT","DUKE","10-DEC-97",""
"Hypericum","491","HYPERICUM","DUKE","10-DEC-97",""
"Klamath Weed","491","KLAMATHWEED","DUKE","10-DEC-97",""
"Desert Lavender","492","DESERTLAVENDER","DUKE","10-DEC-97",""
"Spicate Hyptis","493","SPICATEHYPTIS","DUKE","10-DEC-97",""
"Wild Hops","494","WILDHOPS","DUKE","10-DEC-97",""
"Hyssop","495","HYSSOP","DUKE","10-DEC-97",""
"Mate","496","MATE","DUKE","10-DEC-97",""
"Paraguay Tea","496","PARAGUAYTEA","DUKE","10-DEC-97",""
"South American Holly","496","SOUTHAMERICANHOLLY","DUKE","10-DEC-97",""
"Star Anise","497","STARANISE","DUKE","10-DEC-97","07-FEB-01"
"Common Indigo","498","COMMONINDIGO","DUKE","10-DEC-97",""
"Elecampane","499","ELECAMPANE","DUKE","10-DEC-97",""
"Swamp Cabbage","500","SWAMPCABBAGE","DUKE","10-DEC-97",""
"Water Spinach","500","WATERSPINACH","DUKE","10-DEC-97",""
"Sweet Potato","501","SWEETPOTATO","DUKE","10-DEC-97",""
"Jalap","502","JALAP","DUKE","10-DEC-97",""
"Ololiuqui","503","OLOLIUQUI","DUKE","10-DEC-97",""
"Tlitlitzen","503","TLITLITZEN","DUKE","10-DEC-97",""
"Orris","504","ORRIS","DUKE","10-DEC-97",""
"Blue Flag","505","BLUEFLAG","DUKE","10-DEC-97",""
"False Pennyroyal","506","FALSEPENNYROYAL","DUKE","10-DEC-97",""
"Dyer's Woad","507","DYERSWOAD","DUKE","10-DEC-97",""
"Jasmine","508","JASMINE","DUKE","10-DEC-97",""
"Poet's Jessamine","508","POETSJESSAMINE","DUKE","10-DEC-97",""
"Calumba Root","509","CALUMBAROOT","DUKE","10-DEC-97",""
"Physic Nut","510","PHYSICNUT","DUKE","10-DEC-97",""
"Purging Nut","510","PURGINGNUT","DUKE","10-DEC-97",""
"Spanish Physic Nut","511","SPANISHPHYSICNUT","DUKE","10-DEC-97",""
"Butternut","512","BUTTERNUT","DUKE","10-DEC-97",""
"Black Walnut","513","BLACKWALNUT","DUKE","10-DEC-97",""
"English Walnut","514","ENGLISHWALNUT","DUKE","10-DEC-97",""
"Rush","515","RUSH","DUKE","10-DEC-97",""
"Common Juniper","516","COMMONJUNIPER","DUKE","10-DEC-97",""
"Juniper","516","JUNIPER","DUKE","10-DEC-97",""
"Cade Oil","517","CADEOIL","DUKE","10-DEC-97",""
"Spanish Cedar","517","SPANISHCEDAR","DUKE","10-DEC-97",""
"Sabine","518","SABINE","DUKE","10-DEC-97",""
"Red Cedar","519","REDCEDAR","DUKE","10-DEC-97",""
"Jussiaeae Herba","520","JUSSIAEAEHERBA","DUKE","10-DEC-97",""
"Pond Dragon","520","PONDDRAGON","DUKE","10-DEC-97",""
"Malabar Nut","521","MALABARNUT","DUKE","10-DEC-97",""
"Gandarussa","522","GANDARUSSA","DUKE","10-DEC-97",""
"Angel Of Death","523","ANGELOFDEATH","DUKE","10-DEC-97",""
"Bolek Hena","523","BOLEKHENA","DUKE","10-DEC-97",""
"Maraba","524","MARABA","DUKE","10-DEC-97",""
"Devil's-Backbone","525","DEVILSBACKBONE","DUKE","10-DEC-97",""
"Air Plant","526","AIRPLANT","DUKE","10-DEC-97",""
"Siempre Viva","526","SIEMPREVIVA","DUKE","10-DEC-97",""
"Beach Bells","527","BEACHBELLS","DUKE","10-DEC-97",""
"Mountain Laurel","528","MOUNTAINLAUREL","DUKE","10-DEC-97",""
"Rhatany","529","RHATANY","DUKE","10-DEC-97",""
"Rhatany","530","RHATANY","DUKE","10-DEC-97",""
"Bonavist Bean","531","BONAVISTBEAN","DUKE","10-DEC-97",""
"Hyacinth Bean","531","HYACINTHBEAN","DUKE","10-DEC-97",""
"Lablab Bean","531","LABLABBEAN","DUKE","10-DEC-97",""
"Golden Chain Tree","532","GOLDENCHAINTREE","DUKE","10-DEC-97",""
"Redroot","533","REDROOT","DUKE","10-DEC-97",""
"Lettuce","534","LETTUCE","DUKE","10-DEC-97",""
"Prickly Lettuce","535","PRICKLYLETTUCE","DUKE","10-DEC-97",""
"Bitter Lettuce","536","BITTERLETTUCE","DUKE","10-DEC-97",""
"Calabash Gourd","537","CALABASHGOURD","DUKE","10-DEC-97",""
"White-Flowered Gourd","537","WHITEFLOWEREDGOURD","DUKE","10-DEC-97",""
"Crape Myrtle","538","CRAPEMYRTLE","DUKE","10-DEC-97",""
"Intoxicating Mint","539","INTOXICATINGMINT","DUKE","10-DEC-97",""
"Lantana","540","LANTANA","DUKE","10-DEC-97",""
"Wild Sage","540","WILDSAGE","DUKE","10-DEC-97",""
"Chaparral","541","CHAPARRAL","DUKE","10-DEC-97",""
"Creosote Bush","541","CREOSOTEBUSH","DUKE","10-DEC-97",""
"Latua","542","LATUA","DUKE","10-DEC-97",""
"Bayleaf","543","BAYLEAF","DUKE","10-DEC-97","17-DEC-00"
"English Lavender","544","ENGLISHLAVENDER","DUKE","10-DEC-97",""
"Aspic","545","ASPIC","DUKE","10-DEC-97",""
"Broad-Leaved Lavender","545","BROADLEAVEDLAVENDER","DUKE","10-DEC-97",""
"Spike Lavender","545","SPIKELAVENDER","DUKE","10-DEC-97",""
"Dutch Lavender","546","DUTCHLAVENDER","DUKE","10-DEC-97",""
"Lavandin","546","LAVANDIN","DUKE","10-DEC-97",""
"Henna","547","HENNA","DUKE","10-DEC-97",""
"Mignonette","547","MIGNONETTE","DUKE","10-DEC-97",""
"Marsh Tea","548","MARSHTEA","DUKE","10-DEC-97",""
"Wild Rosemary","548","WILDROSEMARY","DUKE","10-DEC-97",""
"Lentil","549","LENTIL","DUKE","10-DEC-97",""
"Woody Lion's-Ear","550","WOODYLIONSEAR","DUKE","10-DEC-97",""
"Lion's Ear","551","LIONSEAR","DUKE","10-DEC-97",""
"Catnipleaf Lion's-Ear","552","CATNIPLEAFLIONSEAR","DUKE","10-DEC-97",""
"Motherwort","553","MOTHERWORT","DUKE","10-DEC-97",""
"Epling's Lepechinia","554","EPLINGSLEPECHINIA","DUKE","10-DEC-97",""
"Schiede's Lepechinia","555","SCHIEDESLEPECHINIA","DUKE","10-DEC-97",""
"Garden Cress","556","GARDENCRESS","DUKE","10-DEC-97",""
"Lovage","557","LOVAGE","DUKE","10-DEC-97",""
"Japanese Privet","558","JAPANESEPRIVET","DUKE","10-DEC-97",""
"Ligustri Fructus","558","LIGUSTRIFRUCTUS","DUKE","10-DEC-97",""
"Chinese Privet","559","CHINESEPRIVET","DUKE","10-DEC-97",""
"Glossy Privet","559","GLOSSYPRIVET","DUKE","10-DEC-97",""
"Ligustri Fructus","559","LIGUSTRIFRUCTUS","DUKE","10-DEC-97",""
"Privet","559","PRIVET","DUKE","10-DEC-97",""
"Common Privet","560","COMMONPRIVET","DUKE","10-DEC-97",""
"Flax","561","FLAX","DUKE","10-DEC-97",""
"Linseed","561","LINSEED","DUKE","10-DEC-97",""
"Sweet Herb","562","SWEETHERB","DUKE","10-DEC-97",""
"Oregano","563","OREGANO","DUKE","10-DEC-97",""
"Oriental Storax","564","ORIENTALSTORAX","DUKE","10-DEC-97",""
"Oriental Styrax","564","ORIENTALSTYRAX","DUKE","10-DEC-97",""
"American Styrax","565","AMERICANSTYRAX","DUKE","10-DEC-97",""
"Sweetgum","565","SWEETGUM","DUKE","10-DEC-97",""
"Indian Tobacco","566","INDIANTOBACCO","DUKE","10-DEC-97",""
"Devil's Tobacco","567","DEVILSTOBACCO","DUKE","10-DEC-97",""
"Darnel","568","DARNEL","DUKE","10-DEC-97",""
"Tares","568","TARES","DUKE","10-DEC-97",""
"Japanese Honeysuckle","569","JAPANESEHONEYSUCKLE","DUKE","10-DEC-97",""
"Dan Zhu Ye","570","DANZHUYE","DUKE","10-DEC-97",""
"Peyote","571","PEYOTE","DUKE","10-DEC-97",""
"Luffa","572","LUFFA","DUKE","10-DEC-97",""
"Smooth Loofah","572","SMOOTHLOOFAH","DUKE","10-DEC-97",""
"Vegetable Sponge","572","VEGETABLESPONGE","DUKE","10-DEC-97",""
"White Lupine","573","WHITELUPINE","DUKE","10-DEC-97",""
"Andean Lupine","574","ANDEANLUPINE","DUKE","10-DEC-97",""
"Chocho","574","CHOCHO","DUKE","10-DEC-97",""
"Tarhui","574","TARHUI","DUKE","10-DEC-97",""
"Wolfberry","575","WOLFBERRY","DUKE","10-DEC-97",""
"Tomato","576","TOMATO","DUKE","10-DEC-97",""
"Antler Herb","577","ANTLERHERB","DUKE","10-DEC-97",""
"Clubmoss","577","CLUBMOSS","DUKE","10-DEC-97",""
"Chin-Pu-Huan","578","CHINPUHUAN","DUKE","10-DEC-97",""
"Clubmoss","578","CLUBMOSS","DUKE","10-DEC-97",""
"Huperzia","578","HUPERZIA","DUKE","10-DEC-97",""
"American Bugle","579","AMERICANBUGLE","DUKE","10-DEC-97",""
"European Bugle","580","EUROPEANBUGLE","DUKE","10-DEC-97",""
"One-Flowered Bugle","581","ONEFLOWEREDBUGLE","DUKE","10-DEC-97",""
"Bugle","582","BUGLE","DUKE","10-DEC-97",""
"Spider Lily","583","SPIDERLILY","DUKE","10-DEC-97",""
"Magic Lily","584","MAGICLILY","DUKE","10-DEC-97",""
"Resurrection Lily","584","RESURRECTIONLILY","DUKE","10-DEC-97",""
"Climbing Fern","585","CLIMBINGFERN","DUKE","10-DEC-97",""
"Purple Loosestrife","586","PURPLELOOSESTRIFE","DUKE","10-DEC-97",""
"Macadamia","587","MACADAMIA","DUKE","10-DEC-97",""
"Plume Poppy","588","PLUMEPOPPY","DUKE","10-DEC-97",""
"Hsin-I","589","HSINI","DUKE","10-DEC-97",""
"Xin-Yi","589","XINYI","DUKE","10-DEC-97",""
"Hsin-I","590","HSINI","DUKE","10-DEC-97",""
"Xin-Yi","590","XINYI","DUKE","10-DEC-97",""
"Hsin-I","591","HSINI","DUKE","10-DEC-97",""
"Xin-Yi","591","XINYI","DUKE","10-DEC-97",""
"Chinese Magnolia","592","CHINESEMAGNOLIA","DUKE","10-DEC-97",""
"Hou Pu","592","HOUPU","DUKE","10-DEC-97",""
"Oregon Grape","593","OREGONGRAPE","DUKE","10-DEC-97",""
"Acerola","594","ACEROLA","DUKE","10-DEC-97",""
"Apple","595","APPLE","DUKE","10-DEC-97",""
"Cheeses","596","CHEESES","DUKE","10-DEC-97",""
"Common Mallow","596","COMMONMALLOW","DUKE","10-DEC-97",""
"Cheeseweed","597","CHEESEWEED","DUKE","10-DEC-97",""
"High Mallow","598","HIGHMALLOW","DUKE","10-DEC-97",""
"Mandrake","599","MANDRAKE","DUKE","10-DEC-97",""
"Mango","600","MANGO","DUKE","10-DEC-97",""
"Cassava","601","CASSAVA","DUKE","10-DEC-97",""
"Tapioca","601","TAPIOCA","DUKE","10-DEC-97",""
"Yuca","601","YUCA","DUKE","10-DEC-97",""
"Arrowroot","602","ARROWROOT","DUKE","10-DEC-97",""
"Bermuda Arrowroot","602","BERMUDAARROWROOT","DUKE","10-DEC-97",""
"Condurango","603","CONDURANGO","DUKE","10-DEC-97",""
"Horehound","604","HOREHOUND","DUKE","10-DEC-97",""
"Annual Camomile","605","ANNUALCAMOMILE","DUKE","10-DEC-97",""
"German Camomile","605","GERMANCAMOMILE","DUKE","10-DEC-97",""
"Wild Camomile","605","WILDCAMOMILE","DUKE","10-DEC-97",""
"Alfalfa","606","ALFALFA","DUKE","10-DEC-97",""
"Lucerne","606","LUCERNE","DUKE","10-DEC-97",""
"Cajeput","607","CAJEPUT","DUKE","10-DEC-97",""
"Chinaberry","608","CHINABERRY","DUKE","10-DEC-97",""
"White Melilot","609","WHITEMELILOT","DUKE","10-DEC-97",""
